Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/jensenlin/Downloads/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2018_11_03_22_02_43_090.jpg;0;0;0;0;99.66999;85.58897;0.0002364376;43.50829;1.323176E-06
/Users/jensenlin/Downloads/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2018_11_03_22_02_43_157.jpg;0;0;0;0;99.66999;85.58897;0.0002364797;43.50829;1.225117E-06
/Users/jensenlin/Downloads/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2018_11_03_22_02_43_223.jpg;0;0;0;0;99.66999;85.58897;0.0002365429;43.50829;1.07803E-06
/Users/jensenlin/Downloads/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2018_11_03_22_02_43_290.jpg;0;0;0;0;99.66999;85.58897;0.0002366271;43.50829;8.819131E-07
/Users/jensenlin/Downloads/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2018_11_03_22_02_43_357.jpg;0;0;0;0;99.66999;85.58897;0.0002366903;43.50829;7.348255E-07
/Users/jensenlin/Downloads/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2018_11_03_22_02_43_424.jpg;0;0;0;0;99.66999;85.58897;0.0002367535;43.50829;5.87738E-07
/Users/jensenlin/Downloads/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2018_11_03_22_02_43_490.jpg;0;0;0;0;99.66999;85.58897;0.0002368377;43.50829;3.916212E-07
/Users/jensenlin/Downloads/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2018_11_03_22_02_43_557.jpg;0;0;0;0;99.66999;85.58897;0.000236943;43.50829;1.464753E-07
/Users/jensenlin/Downloads/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2018_11_03_22_02_43_624.jpg;0;0;0;0;99.66999;85.58897;0.0002370694;43.50829;-1.476933E-07
/Users/jensenlin/Downloads/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2018_11_03_22_02_43_690.jpg;0;0.1994462;0;0;99.67071;85.58965;0.02183642;43.48339;4.886187E-05
/Users/jensenlin/Downloads/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2018_11_03_22_02_43_757.jpg;0;0.4000139;0;0.02163298;99.67222;85.59107;0.06500661;43.29094;0.0002590638
/Users/jensenlin/Downloads/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2018_11_03_22_02_43_823.jpg;0;0.5994569;0;0.04530616;99.67538;85.59405;0.152955;43.28458;0.000288183
/Users/jensenlin/Downloads/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2018_11_03_22_02_43_891.jpg;0;0.7994041;0;0.08048782;99.68241;85.60065;0.3379751;43.41721;-0.0006258536
